Year,FDI,FDI1,FDI2,FDI3,netExports,netExports1,netExports2,Unemp,Unemp1,Unemp2,Unemp3,
2010,3.659213464,7.493703708,18.91424711,31.24701892,-2.863443249,-8.258806948,-19.74880266,10.27900028,6.816999912,5.609000206,6.877999783,
2011,3.667499284,3.659213464,7.493703708,18.91424711,0.376520548,-2.863443249,-8.258806948,11.26000023,10.27900028,6.816999912,5.609000206,
2012,3.310468065,3.667499284,3.659213464,7.493703708,-3.186066366,0.376520548,-2.863443249,12.27000046,11.26000023,10.27900028,6.816999912,
2013,3.577967562,3.310468065,3.667499284,3.659213464,-0.445829714,-3.186066366,0.376520548,12.94099998,12.27000046,11.26000023,10.27900028,
2014,1.922536931,3.577967562,3.310468065,3.667499284,-0.979073072,-0.445829714,-3.186066366,11.42399979,12.94099998,12.27000046,11.26000023,
2015,4.304700174,1.922536931,3.577967562,3.310468065,0.956209663,-0.979073072,-0.445829714,9.142999649,11.42399979,12.94099998,12.27000046,
2016,2.74518661,4.304700174,1.922536931,3.577967562,4.952692693,0.956209663,-0.979073072,7.574999809,9.142999649,11.42399979,12.94099998,
2017,3.42720223,2.74518661,4.304700174,1.922536931,4.335550998,4.952692693,0.956209663,6.164000034,7.574999809,9.142999649,11.42399979,
2018,1.846773929,3.42720223,2.74518661,4.304700174,2.586846296,4.335550998,4.952692693,5.210999966,6.164000034,7.574999809,9.142999649,
2019,2.214224123,1.846773929,3.42720223,2.74518661,3.424753248,2.586846296,4.335550998,4.340000153,5.210999966,6.164000034,7.574999809,0.367450194
