GDPGrowth,Year,Exports Minus,Unemployment,FDI
-8.44535517671254,1991,4.274134119380996,13.3909997940063,0.510803242446573
-7.272387998545799,1992,-5.826693227091596,13.479000091552699,0.400946215139442
-1.48021475855352,1993,-7.627969220475094,13.652000427246099,0.3693542990966879
1.8180111976807904,1994,-0.6250000000001066,13.6850004196167,1.08688736681887
2.8601894445586904,1995,9.416326063473702,13.694000244140598,0.476207945892302
5.1389152384033085,1996,11.173302876539402,13.7209997177124,0.8865953833815999
-14.192814804139399,1997,12.688638616856501,13.6999998092651,4.46094574623626
4.28528189770626,1998,6.837488807649393,12.1999998092651,3.57479973847336
-8.28101624145192,1999,-4.575386779790796,14.1000003814697,6.00842981242069
4.782042328514049,2000,-5.307990836156087,16.2180004119873,7.5608969116557585
3.81724003293755,2001,-9.318733902764997,19.9209995269775,5.731605871045071
5.95303387685426,2002,-7.9750035751277935,18.1089992523193,5.51526099985582
5.1518415050504816,2003,-10.179993058010695,13.7329998016357,9.916246541081632
6.44185968615297,2004,-11.150616606757604,12.036999702453599,11.7461706789733
7.1535418340610715,2005,-14.6550800228826,10.083000183105499,13.7201916627639
6.802165968896719,2006,-17.0917054920237,8.95100021362305,22.904363084004306
6.557082320645361,2007,-18.8342348398997,6.8779997825622585,31.2470189183636
6.08562708193034,2008,-19.748802663957807,5.60900020599365,18.914247111729104
-3.4235708203944903,2009,-8.258806947870404,6.81699991226196,7.49370370760462
0.5698235645251939,2010,-2.8634432487294035,10.2790002822876,3.65921346370992
2.35098045583469,2011,0.3765205482596841,11.2600002288818,3.66749928404032
0.3605831882875779,2012,-3.186066366292508,12.270000457763699,3.31046806517173
0.31873576132257103,2013,-0.4458297140236169,12.940999984741199,3.5779675616252704
1.89454714241928,2014,-0.9790730722582026,11.423999786377001,1.92253693074056
3.989526269234081,2015,0.9562096633381928,9.14299964904785,4.30470017433907
3.8115378297609706,2016,4.952692692692089,7.574999809265139,2.7451866098177
3.50660477401181,2017,4.3355509975950985,6.16400003433228,3.4272022303019303
3.08418980095941,2018,2.5868462959572014,5.21099996566772,1.84677392881094
3.3716155456754,2019,3.4247532478697025,4.34000015258789,2.21422412328944
