Year,FDI,FDI1,FDI2,FDI3,netExports,netExports1,netExports2,Unemp,Unemp1,Unemp2,Unemp3,X,pred1,pred2,pred3,pred4
2010,3.659213464,7.493703708,18.91424711,31.24701892,-2.863443249,-8.258806948,-19.74880266,10.27900028,6.816999912,5.609000206,6.877999783,NA,12.273392020415983,38.56082157345659,8.187000931118089,13.16095354035231
2011,3.667499284,3.659213464,7.493703708,18.91424711,0.376520548,-2.863443249,-8.258806948,11.26000023,10.27900028,6.816999912,5.609000206,NA,10.91405686186204,18.95538317367826,9.895115348837308,13.696029641580925
2012,3.310468065,3.667499284,3.659213464,7.493703708,-3.186066366,0.376520548,-2.863443249,12.27000046,11.26000023,10.27900028,6.816999912,NA,10.56444986335956,11.64021978375252,10.922098139966163,11.692188157396853
2013,3.577967562,3.310468065,3.667499284,3.659213464,-0.445829714,-3.186066366,0.376520548,12.94099998,12.27000046,11.26000023,10.27900028,NA,12.334065350283645,13.079213548295872,11.798145362136864,12.34592472019525
2014,1.922536931,3.577967562,3.310468065,3.667499284,-0.979073072,-0.445829714,-3.186066366,11.42399979,12.94099998,12.27000046,11.26000023,NA,12.064555693852338,11.977448872876819,12.63044875656403,12.657509052397577
2015,4.304700174,1.922536931,3.577967562,3.310468065,0.956209663,-0.979073072,-0.445829714,9.142999649,11.42399979,12.94099998,12.27000046,NA,10.167610872403825,8.806021763101242,10.227709055246304,8.915167386912309
2016,2.74518661,4.304700174,1.922536931,3.577967562,4.952692693,0.956209663,-0.979073072,7.574999809,9.142999649,11.42399979,12.94099998,NA,9.124048891647227,7.67409503047572,9.030744785700845,7.302890983320468
2017,3.42720223,2.74518661,4.304700174,1.922536931,4.335550998,4.952692693,0.956209663,6.164000034,7.574999809,9.142999649,11.42399979,NA,5.709233669231117,6.383242345401741,6.622397219321796,6.361895690324213
2018,1.846773929,3.42720223,2.74518661,4.304700174,2.586846296,4.335550998,4.952692693,5.210999966,6.164000034,7.574999809,9.142999649,NA,5.233318511373375,4.939693362313369,5.489405264628655,5.398224536481609
2019,2.214224123,1.846773929,3.42720223,2.74518661,3.424753248,2.586846296,4.335550998,4.340000153,5.210999966,6.164000034,7.574999809,0.367450194,4.216660356986873,4.568065134782717,3.711936138598025,4.394199313971697
